TITLE     = "Concentrations in 3D (grams per cubic meter)"
VARIABLES = "X" "Y" "Z" "C"
ZONE T="  1599.0 seconds"
I=    60, J=    40,  K=    36, F=POINT
DT=(SINGLE SINGLE SINGLE SINGLE)
 2.2450E+01 2.1500E+01 3.5500E+01  0.0000E+00
 2.2750E+01 2.1500E+01 3.5500E+01  0.0000E+00
 2.3050E+01 2.1500E+01 3.5500E+01  0.0000E+00
 2.3350E+01 2.1500E+01 3.5500E+01  0.0000E+00
 2.3650E+01 2.1500E+01 3.5500E+01  0.0000E+00
 2.3950E+01 2.1500E+01 3.5500E+01  0.0000E+00
 2.4250E+01 2.1500E+01 3.5500E+01  0.0000E+00
 2.4550E+01 2.1500E+01 3.5500E+01  0.0000E+00
 2.4850E+01 2.1500E+01 3.5500E+01  0.0000E+00
 2.5150E+01 2.1500E+01 3.5500E+01  0.0000E+00
 2.5450E+01 2.1500E+01 3.5500E+01  0.0000E+00
 2.5750E+01 2.1500E+01 3.5500E+01  0.0000E+00
 2.6050E+01 2.1500E+01 3.5500E+01  0.0000E+00
 2.6350E+01 2.1500E+01 3.5500E+01  0.0000E+00
 2.6650E+01 2.1500E+01 3.5500E+01  0.0000E+00
 2.6950E+01 2.1500E+01 3.5500E+01  0.0000E+00
 2.7250E+01 2.1500E+01 3.5500E+01  0.0000E+00
 2.7550E+01 2.1500E+01 3.5500E+01  0.0000E+00
 2.7850E+01 2.1500E+01 3.5500E+01  0.0000E+00
 2.8150E+01 2.1500E+01 3.5500E+01  0.0000E+00
 2.8450E+01 2.1500E+01 3.5500E+01  0.0000E+00
 2.8750E+01 2.1500E+01 3.5500E+01  0.0000E+00
 2.9050E+01 2.1500E+01 3.5500E+01  0.0000E+00
 2.9350E+01 2.1500E+01 3.5500E+01  0.0000E+00
 2.9650E+01 2.1500E+01 3.5500E+01  0.0000E+00
 2.9950E+01 2.1500E+01 3.5500E+01  0.0000E+00
 3.0250E+01 2.1500E+01 3.5500E+01  0.0000E+00
 3.0550E+01 2.1500E+01 3.5500E+01  0.0000E+00
 3.0850E+01 2.1500E+01 3.5500E+01  0.0000E+00
 3.1150E+01 2.1500E+01 3.5500E+01  0.0000E+00
 3.1450E+01 2.1500E+01 3.5500E+01  0.0000E+00
 3.1750E+01 2.1500E+01 3.5500E+01  0.0000E+00
 3.2050E+01 2.1500E+01 3.5500E+01  0.0000E+00
 3.2350E+01 2.1500E+01 3.5500E+01  0.0000E+00
 3.2650E+01 2.1500E+01 3.5500E+01  0.0000E+00
 3.2950E+01 2.1500E+01 3.5500E+01  0.0000E+00
 3.3250E+01 2.1500E+01 3.5500E+01  0.0000E+00
 3.3550E+01 2.1500E+01 3.5500E+01  0.0000E+00
 3.3850E+01 2.1500E+01 3.5500E+01  0.0000E+00
 3.4150E+01 2.1500E+01 3.5500E+01  0.0000E+00
 3.4450E+01 2.1500E+01 3.5500E+01  0.0000E+00
 3.4750E+01 2.1500E+01 3.5500E+01  0.0000E+00
 3.5050E+01 2.1500E+01 3.5500E+01  0.0000E+00
 3.5350E+01 2.1500E+01 3.5500E+01  0.0000E+00
 3.5650E+01 2.1500E+01 3.5500E+01  0.0000E+00
 3.5950E+01 2.1500E+01 3.5500E+01  0.0000E+00
 3.6250E+01 2.1500E+01 3.5500E+01  0.0000E+00
 3.6550E+01 2.1500E+01 3.5500E+01  0.0000E+00
 3.6850E+01 2.1500E+01 3.5500E+01  0.0000E+00
 3.7150E+01 2.1500E+01 3.5500E+01  0.0000E+00
 3.7450E+01 2.1500E+01 3.5500E+01  0.0000E+00
 3.7750E+01 2.1500E+01 3.5500E+01  0.0000E+00
 3.8050E+01 2.1500E+01 3.5500E+01  0.0000E+00
 3.8350E+01 2.1500E+01 3.5500E+01  0.0000E+00
 3.8650E+01 2.1500E+01 3.5500E+01  0.0000E+00
 3.8950E+01 2.1500E+01 3.5500E+01  0.0000E+00
 3.9250E+01 2.1500E+01 3.5500E+01  0.0000E+00
 3.9550E+01 2.1500E+01 3.5500E+01  0.0000E+00
 3.9850E+01 2.1500E+01 3.5500E+01  0.0000E+00
 2.2150E+01 2.2500E+01 3.5500E+01  0.0000E+00
 2.2450E+01 2.2500E+01 3.5500E+01  0.0000E+00
 2.2750E+01 2.2500E+01 3.5500E+01  0.0000E+00
 2.3050E+01 2.2500E+01 3.5500E+01  0.0000E+00
 2.3350E+01 2.2500E+01 3.5500E+01  0.0000E+00
 2.3650E+01 2.2500E+01 3.5500E+01  0.0000E+00
 2.3950E+01 2.2500E+01 3.5500E+01  0.0000E+00
 2.4250E+01 2.2500E+01 3.5500E+01  0.0000E+00
 2.4550E+01 2.2500E+01 3.5500E+01  0.0000E+00
 2.4850E+01 2.2500E+01 3.5500E+01  0.0000E+00
 2.5150E+01 2.2500E+01 3.5500E+01  0.0000E+00
 2.5450E+01 2.2500E+01 3.5500E+01  0.0000E+00
 2.5750E+01 2.2500E+01 3.5500E+01  0.0000E+00
 2.6050E+01 2.2500E+01 3.5500E+01  0.0000E+00
 2.6350E+01 2.2500E+01 3.5500E+01  0.0000E+00
 2.6650E+01 2.2500E+01 3.5500E+01  0.0000E+00
 2.6950E+01 2.2500E+01 3.5500E+01  0.0000E+00
 2.7250E+01 2.2500E+01 3.5500E+01  0.0000E+00
 2.7550E+01 2.2500E+01 3.5500E+01  0.0000E+00
 2.7850E+01 2.2500E+01 3.5500E+01  0.0000E+00
 2.8150E+01 2.2500E+01 3.5500E+01  0.0000E+00
 2.8450E+01 2.2500E+01 3.5500E+01  0.0000E+00
 2.8750E+01 2.2500E+01 3.5500E+01  0.0000E+00
 2.9050E+01 2.2500E+01 3.5500E+01  0.0000E+00
 2.9350E+01 2.2500E+01 3.5500E+01  0.0000E+00
 2.9650E+01 2.2500E+01 3.5500E+01  0.0000E+00
 2.9950E+01 2.2500E+01 3.5500E+01  0.0000E+00
 3.0250E+01 2.2500E+01 3.5500E+01  0.0000E+00
 3.0550E+01 2.2500E+01 3.5500E+01  0.0000E+00
 3.0850E+01 2.2500E+01 3.5500E+01  0.0000E+00
 3.1150E+01 2.2500E+01 3.5500E+01  0.0000E+00
 3.1450E+01 2.2500E+01 3.5500E+01  0.0000E+00
 3.1750E+01 2.2500E+01 3.5500E+01  0.0000E+00
 3.2050E+01 2.2500E+01 3.5500E+01  0.0000E+00
 3.2350E+01 2.2500E+01 3.5500E+01  0.0000E+00
 3.2650E+01 2.2500E+01 3.5500E+01  0.0000E+00
 3.2950E+01 2.2500E+01 3.5500E+01  0.0000E+00
 3.3250E+01 2.2500E+01 3.5500E+01  0.0000E+00
 3.3550E+01 2.2500E+01 3.5500E+01  0.0000E+00
 3.3850E+01 2.2500E+01 3.5500E+01  0.0000E+00
 3.4150E+01 2.2500E+01 3.5500E+01  0.0000E+00
 3.4450E+01 2.2500E+01 3.5500E+01  0.0000E+00
 3.4750E+01 2.2500E+01 3.5500E+01  0.0000E+00
 3.5050E+01 2.2500E+01 3.5500E+01  0.0000E+00
 3.5350E+01 2.2500E+01 3.5500E+01  0.0000E+00
 3.5650E+01 2.2500E+01 3.5500E+01  0.0000E+00
 3.5950E+01 2.2500E+01 3.5500E+01  0.0000E+00
 3.6250E+01 2.2500E+01 3.5500E+01  0.0000E+00
 3.6550E+01 2.2500E+01 3.5500E+01  0.0000E+00
 3.6850E+01 2.2500E+01 3.5500E+01  0.0000E+00
 3.7150E+01 2.2500E+01 3.5500E+01  0.0000E+00
 3.7450E+01 2.2500E+01 3.5500E+01  0.0000E+00
 3.7750E+01 2.2500E+01 3.5500E+01  0.0000E+00
 3.8050E+01 2.2500E+01 3.5500E+01  0.0000E+00
 3.8350E+01 2.2500E+01 3.5500E+01  0.0000E+00
 3.8650E+01 2.2500E+01 3.5500E+01  0.0000E+00
 3.8950E+01 2.2500E+01 3.5500E+01  0.0000E+00
 3.9250E+01 2.2500E+01 3.5500E+01  0.0000E+00
 3.9550E+01 2.2500E+01 3.5500E+01  0.0000E+00
 3.9850E+01 2.2500E+01 3.5500E+01  0.0000E+00
 2.2150E+01 2.3500E+01 3.5500E+01  0.0000E+00
 2.2450E+01 2.3500E+01 3.5500E+01  0.0000E+00
 2.2750E+01 2.3500E+01 3.5500E+01  0.0000E+00
 2.3050E+01 2.3500E+01 3.5500E+01  0.0000E+00
 2.3350E+01 2.3500E+01 3.5500E+01  0.0000E+00
 2.3650E+01 2.3500E+01 3.5500E+01  0.0000E+00
 2.3950E+01 2.3500E+01 3.5500E+01  0.0000E+00
 2.4250E+01 2.3500E+01 3.5500E+01  0.0000E+00
 2.4550E+01 2.3500E+01 3.5500E+01  0.0000E+00
 2.4850E+01 2.3500E+01 3.5500E+01  0.0000E+00
 2.5150E+01 2.3500E+01 3.5500E+01  0.0000E+00
 2.5450E+01 2.3500E+01 3.5500E+01  0.0000E+00
 2.5750E+01 2.3500E+01 3.5500E+01  0.0000E+00
 2.6050E+01 2.3500E+01 3.5500E+01  0.0000E+00
 2.6350E+01 2.3500E+01 3.5500E+01  0.0000E+00
 2.6650E+01 2.3500E+01 3.5500E+01  0.0000E+00
 2.6950E+01 2.3500E+01 3.5500E+01  0.0000E+00
 2.7250E+01 2.3500E+01 3.5500E+01  0.0000E+00
 2.7550E+01 2.3500E+01 3.5500E+01  0.0000E+00
 2.7850E+01 2.3500E+01 3.5500E+01  0.0000E+00
 2.8150E+01 2.3500E+01 3.5500E+01  0.0000E+00
 2.8450E+01 2.3500E+01 3.5500E+01  0.0000E+00
 2.8750E+01 2.3500E+01 3.5500E+01  0.0000E+00
 2.9050E+01 2.3500E+01 3.5500E+01  0.0000E+00
 2.9350E+01 2.3500E+01 3.5500E+01  0.0000E+00
 2.9650E+01 2.3500E+01 3.5500E+01  0.0000E+00
 2.9950E+01 2.3500E+01 3.5500E+01  0.0000E+00
 3.0250E+01 2.3500E+01 3.5500E+01  0.0000E+00
 3.0550E+01 2.3500E+01 3.5500E+01  0.0000E+00
 3.0850E+01 2.3500E+01 3.5500E+01  0.0000E+00
 3.1150E+01 2.3500E+01 3.5500E+01  0.0000E+00
 3.1450E+01 2.3500E+01 3.5500E+01  0.0000E+00
 3.1750E+01 2.3500E+01 3.5500E+01  0.0000E+00
 3.2050E+01 2.3500E+01 3.5500E+01  0.0000E+00
 3.2350E+01 2.3500E+01 3.5500E+01  0.0000E+00
 3.2650E+01 2.3500E+01 3.5500E+01  0.0000E+00
 3.2950E+01 2.3500E+01 3.5500E+01  0.0000E+00
 3.3250E+01 2.3500E+01 3.5500E+01  0.0000E+00
 3.3550E+01 2.3500E+01 3.5500E+01  0.0000E+00
 3.3850E+01 2.3500E+01 3.5500E+01  0.0000E+00
 3.4150E+01 2.3500E+01 3.5500E+01  0.0000E+00
 3.4450E+01 2.3500E+01 3.5500E+01  0.0000E+00
 3.4750E+01 2.3500E+01 3.5500E+01  0.0000E+00
 3.5050E+01 2.3500E+01 3.5500E+01  0.0000E+00
 3.5350E+01 2.3500E+01 3.5500E+01  0.0000E+00
 3.5650E+01 2.3500E+01 3.5500E+01  0.0000E+00
 3.5950E+01 2.3500E+01 3.5500E+01  0.0000E+00
 3.6250E+01 2.3500E+01 3.5500E+01  0.0000E+00
 3.6550E+01 2.3500E+01 3.5500E+01  0.0000E+00
 3.6850E+01 2.3500E+01 3.5500E+01  0.0000E+00
 3.7150E+01 2.3500E+01 3.5500E+01  0.0000E+00
 3.7450E+01 2.3500E+01 3.5500E+01  0.0000E+00
 3.7750E+01 2.3500E+01 3.5500E+01  0.0000E+00
 3.8050E+01 2.3500E+01 3.5500E+01  0.0000E+00
 3.8350E+01 2.3500E+01 3.5500E+01  0.0000E+00
 3.8650E+01 2.3500E+01 3.5500E+01  0.0000E+00
 3.8950E+01 2.3500E+01 3.5500E+01  0.0000E+00
 3.9250E+01 2.3500E+01 3.5500E+01  0.0000E+00
 3.9550E+01 2.3500E+01 3.5500E+01  0.0000E+00
 3.9850E+01 2.3500E+01 3.5500E+01  0.0000E+00
 2.2150E+01 2.4500E+01 3.5500E+01  0.0000E+00
 2.2450E+01 2.4500E+01 3.5500E+01  0.0000E+00
 2.2750E+01 2.4500E+01 3.5500E+01  0.0000E+00
 2.3050E+01 2.4500E+01 3.5500E+01  0.0000E+00
 2.3350E+01 2.4500E+01 3.5500E+01  0.0000E+00
 2.3650E+01 2.4500E+01 3.5500E+01  0.0000E+00
 2.3950E+01 2.4500E+01 3.5500E+01  0.0000E+00
 2.4250E+01 2.4500E+01 3.5500E+01  0.0000E+00
 2.4550E+01 2.4500E+01 3.5500E+01  0.0000E+00
 2.4850E+01 2.4500E+01 3.5500E+01  0.0000E+00
 2.5150E+01 2.4500E+01 3.5500E+01  0.0000E+00
 2.5450E+01 2.4500E+01 3.5500E+01  0.0000E+00
 2.5750E+01 2.4500E+01 3.5500E+01  0.0000E+00
 2.6050E+01 2.4500E+01 3.5500E+01  0.0000E+00
 2.6350E+01 2.4500E+01 3.5500E+01  0.0000E+00
 2.6650E+01 2.4500E+01 3.5500E+01  0.0000E+00
 2.6950E+01 2.4500E+01 3.5500E+01  0.0000E+00
 2.7250E+01 2.4500E+01 3.5500E+01  0.0000E+00
 2.7550E+01 2.4500E+01 3.5500E+01  0.0000E+00
 2.7850E+01 2.4500E+01 3.5500E+01  0.0000E+00
 2.8150E+01 2.4500E+01 3.5500E+01  0.0000E+00
 2.8450E+01 2.4500E+01 3.5500E+01  0.0000E+00
 2.8750E+01 2.4500E+01 3.5500E+01  0.0000E+00
 2.9050E+01 2.4500E+01 3.5500E+01  0.0000E+00
 2.9350E+01 2.4500E+01 3.5500E+01  0.0000E+00
 2.9650E+01 2.4500E+01 3.5500E+01  0.0000E+00
 2.9950E+01 2.4500E+01 3.5500E+01  0.0000E+00
 3.0250E+01 2.4500E+01 3.5500E+01  0.0000E+00
 3.0550E+01 2.4500E+01 3.5500E+01  0.0000E+00
 3.0850E+01 2.4500E+01 3.5500E+01  0.0000E+00
 3.1150E+01 2.4500E+01 3.5500E+01  0.0000E+00
 3.1450E+01 2.4500E+01 3.5500E+01  0.0000E+00
 3.1750E+01 2.4500E+01 3.5500E+01  0.0000E+00
 3.2050E+01 2.4500E+01 3.5500E+01  0.0000E+00
 3.2350E+01 2.4500E+01 3.5500E+01  0.0000E+00
 3.2650E+01 2.4500E+01 3.5500E+01  0.0000E+00
 3.2950E+01 2.4500E+01 3.5500E+01  0.0000E+00
 3.3250E+01 2.4500E+01 3.5500E+01  0.0000E+00
 3.3550E+01 2.4500E+01 3.5500E+01  0.0000E+00
 3.3850E+01 2.4500E+01 3.5500E+01  0.0000E+00
 3.4150E+01 2.4500E+01 3.5500E+01  0.0000E+00
 3.4450E+01 2.4500E+01 3.5500E+01  0.0000E+00
 3.4750E+01 2.4500E+01 3.5500E+01  0.0000E+00
 3.5050E+01 2.4500E+01 3.5500E+01  0.0000E+00
 3.5350E+01 2.4500E+01 3.5500E+01  0.0000E+00
 3.5650E+01 2.4500E+01 3.5500E+01  0.0000E+00
 3.5950E+01 2.4500E+01 3.5500E+01  0.0000E+00
 3.6250E+01 2.4500E+01 3.5500E+01  0.0000E+00
 3.6550E+01 2.4500E+01 3.5500E+01  0.0000E+00
 3.6850E+01 2.4500E+01 3.5500E+01  0.0000E+00
 3.7150E+01 2.4500E+01 3.5500E+01  0.0000E+00
 3.7450E+01 2.4500E+01 3.5500E+01  0.0000E+00
 3.7750E+01 2.4500E+01 3.5500E+01  0.0000E+00
 3.8050E+01 2.4500E+01 3.5500E+01  0.0000E+00
 3.8350E+01 2.4500E+01 3.5500E+01  0.0000E+00
 3.8650E+01 2.4500E+01 3.5500E+01  0.0000E+00
 3.8950E+01 2.4500E+01 3.5500E+01  0.0000E+00
 3.9250E+01 2.4500E+01 3.5500E+01  0.0000E+00
 3.9550E+01 2.4500E+01 3.5500E+01  0.0000E+00
 3.9850E+01 2.4500E+01 3.5500E+01  0.0000E+00
 2.2150E+01 2.5500E+01 3.5500E+01  0.0000E+00
 2.2450E+01 2.5500E+01 3.5500E+01  0.0000E+00
 2.2750E+01 2.5500E+01 3.5500E+01  0.0000E+00
 2.3050E+01 2.5500E+01 3.5500E+01  0.0000E+00
 2.3350E+01 2.5500E+01 3.5500E+01  0.0000E+00
 2.3650E+01 2.5500E+01 3.5500E+01  0.0000E+00
 2.3950E+01 2.5500E+01 3.5500E+01  0.0000E+00
 2.4250E+01 2.5500E+01 3.5500E+01  0.0000E+00
 2.4550E+01 2.5500E+01 3.5500E+01  0.0000E+00
 2.4850E+01 2.5500E+01 3.5500E+01  0.0000E+00
 2.5150E+01 2.5500E+01 3.5500E+01  0.0000E+00
 2.5450E+01 2.5500E+01 3.5500E+01  0.0000E+00
 2.5750E+01 2.5500E+01 3.5500E+01  0.0000E+00
 2.6050E+01 2.5500E+01 3.5500E+01  0.0000E+00
 2.6350E+01 2.5500E+01 3.5500E+01  0.0000E+00
 2.6650E+01 2.5500E+01 3.5500E+01  0.0000E+00
 2.6950E+01 2.5500E+01 3.5500E+01  0.0000E+00
 2.7250E+01 2.5500E+01 3.5500E+01  0.0000E+00
 2.7550E+01 2.5500E+01 3.5500E+01  0.0000E+00
 2.7850E+01 2.5500E+01 3.5500E+01  0.0000E+00
 2.8150E+01 2.5500E+01 3.5500E+01  0.0000E+00
 2.8450E+01 2.5500E+01 3.5500E+01  0.0000E+00
 2.8750E+01 2.5500E+01 3.5500E+01  0.0000E+00
 2.9050E+01 2.5500E+01 3.5500E+01  0.0000E+00
 2.9350E+01 2.5500E+01 3.5500E+01  0.0000E+00
 2.9650E+01 2.5500E+01 3.5500E+01  0.0000E+00
 2.9950E+01 2.5500E+01 3.5500E+01  0.0000E+00
 3.0250E+01 2.5500E+01 3.5500E+01  0.0000E+00
 3.0550E+01 2.5500E+01 3.5500E+01  0.0000E+00
 3.0850E+01 2.5500E+01 3.5500E+01  0.0000E+00
 3.1150E+01 2.5500E+01 3.5500E+01  0.0000E+00
 3.1450E+01 2.5500E+01 3.5500E+01  0.0000E+00
 3.1750E+01 2.5500E+01 3.5500E+01  0.0000E+00
 3.2050E+01 2.5500E+01 3.5500E+01  0.0000E+00
 3.2350E+01 2.5500E+01 3.5500E+01  0.0000E+00
 3.2650E+01 2.5500E+01 3.5500E+01  0.0000E+00
 3.2950E+01 2.5500E+01 3.5500E+01  0.0000E+00
 3.3250E+01 2.5500E+01 3.5500E+01  0.0000E+00
 3.3550E+01 2.5500E+01 3.5500E+01  0.0000E+00
 3.3850E+01 2.5500E+01 3.5500E+01  0.0000E+00
 3.4150E+01 2.5500E+01 3.5500E+01  0.0000E+00
 3.4450E+01 2.5500E+01 3.5500E+01  0.0000E+00
 3.4750E+01 2.5500E+01 3.5500E+01  0.0000E+00
 3.5050E+01 2.5500E+01 3.5500E+01  0.0000E+00
 3.5350E+01 2.5500E+01 3.5500E+01  0.0000E+00
 3.5650E+01 2.5500E+01 3.5500E+01  0.0000E+00
 3.5950E+01 2.5500E+01 3.5500E+01  0.0000E+00
 3.6250E+01 2.5500E+01 3.5500E+01  0.0000E+00
 3.6550E+01 2.5500E+01 3.5500E+01  0.0000E+00
 3.6850E+01 2.5500E+01 3.5500E+01  0.0000E+00
 3.7150E+01 2.5500E+01 3.5500E+01  0.0000E+00
 3.7450E+01 2.5500E+01 3.5500E+01  0.0000E+00
 3.7750E+01 2.5500E+01 3.5500E+01  0.0000E+00
 3.8050E+01 2.5500E+01 3.5500E+01  0.0000E+00
 3.8350E+01 2.5500E+01 3.5500E+01  0.0000E+00
 3.8650E+01 2.5500E+01 3.5500E+01  0.0000E+00
 3.8950E+01 2.5500E+01 3.5500E+01  0.0000E+00
 3.9250E+01 2.5500E+01 3.5500E+01  0.0000E+00
 3.9550E+01 2.5500E+01 3.5500E+01  0.0000E+00
 3.9850E+01 2.5500E+01 3.5500E+01  0.0000E+00
 2.2150E+01 2.6500E+01 3.5500E+01  0.0000E+00
 2.2450E+01 2.6500E+01 3.5500E+01  0.0000E+00
 2.2750E+01 2.6500E+01 3.5500E+01  0.0000E+00
 2.3050E+01 2.6500E+01 3.5500E+01  0.0000E+00
 2.3350E+01 2.6500E+01 3.5500E+01  0.0000E+00
 2.3650E+01 2.6500E+01 3.5500E+01  0.0000E+00
 2.3950E+01 2.6500E+01 3.5500E+01  0.0000E+00
 2.4250E+01 2.6500E+01 3.5500E+01  0.0000E+00
 2.4550E+01 2.6500E+01 3.5500E+01  0.0000E+00
 2.4850E+01 2.6500E+01 3.5500E+01  0.0000E+00
 2.5150E+01 2.6500E+01 3.5500E+01  0.0000E+00
 2.5450E+01 2.6500E+01 3.5500E+01  0.0000E+00
 2.5750E+01 2.6500E+01 3.5500E+01  0.0000E+00
 2.6050E+01 2.6500E+01 3.5500E+01  0.0000E+00
 2.6350E+01 2.6500E+01 3.5500E+01  0.0000E+00
 2.6650E+01 2.6500E+01 3.5500E+01  0.0000E+00
 2.6950E+01 2.6500E+01 3.5500E+01  0.0000E+00
 2.7250E+01 2.6500E+01 3.5500E+01  0.0000E+00
 2.7550E+01 2.6500E+01 3.5500E+01  0.0000E+00
 2.7850E+01 2.6500E+01 3.5500E+01  0.0000E+00
 2.8150E+01 2.6500E+01 3.5500E+01  0.0000E+00
 2.8450E+01 2.6500E+01 3.5500E+01  0.0000E+00
 2.8750E+01 2.6500E+01 3.5500E+01  0.0000E+00
 2.9050E+01 2.6500E+01 3.5500E+01  0.0000E+00
 2.9350E+01 2.6500E+01 3.5500E+01  0.0000E+00
 2.9650E+01 2.6500E+01 3.5500E+01  0.0000E+00
 2.9950E+01 2.6500E+01 3.5500E+01  0.0000E+00
 3.0250E+01 2.6500E+01 3.5500E+01  0.0000E+00
 3.0550E+01 2.6500E+01 3.5500E+01  0.0000E+00
 3.0850E+01 2.6500E+01 3.5500E+01  0.0000E+00
 3.1150E+01 2.6500E+01 3.5500E+01  0.0000E+00
 3.1450E+01 2.6500E+01 3.5500E+01  0.0000E+00
 3.1750E+01 2.6500E+01 3.5500E+01  0.0000E+00
 3.2050E+01 2.6500E+01 3.5500E+01  0.0000E+00
 3.2350E+01 2.6500E+01 3.5500E+01  0.0000E+00
 3.2650E+01 2.6500E+01 3.5500E+01  0.0000E+00
 3.2950E+01 2.6500E+01 3.5500E+01  0.0000E+00
 3.3250E+01 2.6500E+01 3.5500E+01  0.0000E+00
 3.3550E+01 2.6500E+01 3.5500E+01  0.0000E+00
 3.3850E+01 2.6500E+01 3.5500E+01  0.0000E+00
 3.4150E+01 2.6500E+01 3.5500E+01  0.0000E+00
 3.4450E+01 2.6500E+01 3.5500E+01  0.0000E+00
 3.4750E+01 2.6500E+01 3.5500E+01  0.0000E+00
 3.5050E+01 2.6500E+01 3.5500E+01  0.0000E+00
 3.5350E+01 2.6500E+01 3.5500E+01  0.0000E+00
 3.5650E+01 2.6500E+01 3.5500E+01  0.0000E+00
 3.5950E+01 2.6500E+01 3.5500E+01  0.0000E+00
 3.6250E+01 2.6500E+01 3.5500E+01  0.0000E+00
 3.6550E+01 2.6500E+01 3.5500E+01  0.0000E+00
 3.6850E+01 2.6500E+01 3.5500E+01  0.0000E+00
 3.7150E+01 2.6500E+01 3.5500E+01  0.0000E+00
 3.7450E+01 2.6500E+01 3.5500E+01  0.0000E+00
 3.7750E+01 2.6500E+01 3.5500E+01  0.0000E+00
 3.8050E+01 2.6500E+01 3.5500E+01  0.0000E+00
 3.8350E+01 2.6500E+01 3.5500E+01  0.0000E+00
 3.8650E+01 2.6500E+01 3.5500E+01  0.0000E+00
 3.8950E+01 2.6500E+01 3.5500E+01  0.0000E+00
 3.9250E+01 2.6500E+01 3.5500E+01  0.0000E+00
 3.9550E+01 2.6500E+01 3.5500E+01  0.0000E+00
 3.9850E+01 2.6500E+01 3.5500E+01  0.0000E+00
 2.2150E+01 2.7500E+01 3.5500E+01  0.0000E+00
 2.2450E+01 2.7500E+01 3.5500E+01  0.0000E+00
 2.2750E+01 2.7500E+01 3.5500E+01  0.0000E+00
 2.3050E+01 2.7500E+01 3.5500E+01  0.0000E+00
 2.3350E+01 2.7500E+01 3.5500E+01  0.0000E+00
 2.3650E+01 2.7500E+01 3.5500E+01  0.0000E+00
 2.3950E+01 2.7500E+01 3.5500E+01  0.0000E+00
 2.4250E+01 2.7500E+01 3.5500E+01  0.0000E+00
 2.4550E+01 2.7500E+01 3.5500E+01  0.0000E+00
 2.4850E+01 2.7500E+01 3.5500E+01  0.0000E+00
 2.5150E+01 2.7500E+01 3.5500E+01  0.0000E+00
 2.5450E+01 2.7500E+01 3.5500E+01  0.0000E+00
 2.5750E+01 2.7500E+01 3.5500E+01  0.0000E+00
 2.6050E+01 2.7500E+01 3.5500E+01  0.0000E+00
 2.6350E+01 2.7500E+01 3.5500E+01  0.0000E+00
 2.6650E+01 2.7500E+01 3.5500E+01  0.0000E+00
 2.6950E+01 2.7500E+01 3.5500E+01  0.0000E+00
 2.7250E+01 2.7500E+01 3.5500E+01  0.0000E+00
 2.7550E+01 2.7500E+01 3.5500E+01  0.0000E+00
 2.7850E+01 2.7500E+01 3.5500E+01  0.0000E+00
 2.8150E+01 2.7500E+01 3.5500E+01  0.0000E+00
 2.8450E+01 2.7500E+01 3.5500E+01  0.0000E+00
 2.8750E+01 2.7500E+01 3.5500E+01  0.0000E+00
 2.9050E+01 2.7500E+01 3.5500E+01  0.0000E+00
 2.9350E+01 2.7500E+01 3.5500E+01  0.0000E+00
 2.9650E+01 2.7500E+01 3.5500E+01  0.0000E+00
 2.9950E+01 2.7500E+01 3.5500E+01  0.0000E+00
 3.0250E+01 2.7500E+01 3.5500E+01  0.0000E+00
 3.0550E+01 2.7500E+01 3.5500E+01  0.0000E+00
 3.0850E+01 2.7500E+01 3.5500E+01  0.0000E+00
 3.1150E+01 2.7500E+01 3.5500E+01  0.0000E+00
 3.1450E+01 2.7500E+01 3.5500E+01  0.0000E+00
 3.1750E+01 2.7500E+01 3.5500E+01  0.0000E+00
 3.2050E+01 2.7500E+01 3.5500E+01  0.0000E+00
 3.2350E+01 2.7500E+01 3.5500E+01  0.0000E+00
 3.2650E+01 2.7500E+01 3.5500E+01  0.0000E+00
 3.2950E+01 2.7500E+01 3.5500E+01  0.0000E+00
 3.3250E+01 2.7500E+01 3.5500E+01  0.0000E+00
 3.3550E+01 2.7500E+01 3.5500E+01  0.0000E+00
 3.3850E+01 2.7500E+01 3.5500E+01  0.0000E+00
 3.4150E+01 2.7500E+01 3.5500E+01  0.0000E+00
 3.4450E+01 2.7500E+01 3.5500E+01  0.0000E+00
 3.4750E+01 2.7500E+01 3.5500E+01  0.0000E+00
 3.5050E+01 2.7500E+01 3.5500E+01  0.0000E+00
 3.5350E+01 2.7500E+01 3.5500E+01  0.0000E+00
 3.5650E+01 2.7500E+01 3.5500E+01  0.0000E+00
 3.5950E+01 2.7500E+01 3.5500E+01  0.0000E+00
 3.6250E+01 2.7500E+01 3.5500E+01  0.0000E+00
 3.6550E+01 2.7500E+01 3.5500E+01  0.0000E+00
 3.6850E+01 2.7500E+01 3.5500E+01  0.0000E+00
 3.7150E+01 2.7500E+01 3.5500E+01  0.0000E+00
 3.7450E+01 2.7500E+01 3.5500E+01  0.0000E+00
 3.7750E+01 2.7500E+01 3.5500E+01  0.0000E+00
 3.8050E+01 2.7500E+01 3.5500E+01  0.0000E+00
 3.8350E+01 2.7500E+01 3.5500E+01  0.0000E+00
 3.8650E+01 2.7500E+01 3.5500E+01  0.0000E+00
 3.8950E+01 2.7500E+01 3.5500E+01  0.0000E+00
 3.9250E+01 2.7500E+01 3.5500E+01  0.0000E+00
 3.9550E+01 2.7500E+01 3.5500E+01  0.0000E+00
 3.9850E+01 2.7500E+01 3.5500E+01  0.0000E+00
 2.2150E+01 2.8500E+01 3.5500E+01  0.0000E+00
